Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
LE WAGON, PRODUITS FERMIERS ET BIOLOGIQUES;"Fromage et produit laitier;Fruits / légumes;Pain / Pâtisserie;Viande;Volailles / Oeufs";;;;Les Hauts Roseaux;44440;;PANNECE;;44118;47.4678309;-1.2252919;;;02 40 97 78 52;;wagonpannece@orange.fr;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;non;non;;;non;non;non;non;non;non;;non;;oui;;;;;oui;;;47.4678309,-1.2252919;Loire-Atlantique
PRODUITS BIO - VIANDE OVINE ET VOLAILLES;Viande;;;;Les Moulées;53270;;SAINTE-SUZANNE-ET-CHAMMES;;53255;48.072077;-0.375601;;;02 43 01 45 60;;;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;"Anglais;Français";;;;oui;;;;;;;;;"Français;Anglais";;;non;||||de septembre à janvier. Téléphoner pour avoir connaissance des dates de ventes ponctuelles.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Madau||02.43.01.45.60||madau.bernadette@orange.fr;;;oui;;"Chèques bancaires et postaux;Espèces";48.072077,-0.375601;Mayenne
FERME DE LA MUZERIE;Fruits / légumes;;;;Les Véronnières;72380;;JOUE-L'ABBE;;72150;48.116872;0.2462312;;06 72 85 70 78;;;ferme.de.la.muzerie@gmail.com;https://www.facebook.com/Ferme-de-la-Muzerie-Agriculture-biologique-108994075891210;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;;;;48.116872,0.2462312;Sarthe
LA FERME MILPAS;"Epices / Condiment;Plantes et fleurs";;;;Lieu-dit Le Petit Quarteron - TILLIERES;;;SEVREMOINE;;49301;47.15648;-1.16387;;07 81 23 77 94;;;milpaslaferme@laposte.net;https://app.cagette.net/milpas-gaec-specialites-mexicaines-49;;;Facebook||https://www.facebook.com/MilpaS-de-graine-%C3%A0-lassiette-2124877434213088/;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;"Chèques bancaires et postaux;Espèces";47.15648,-1.16387;Maine-et-Loire
FERME LA VOLUE;Viande;;;LA VOLUE;;53200;;MARIGNE-PEUTON;;53145;47.87714;-0.8017889;;02 43 70 03 21;;;guy.bouin@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.87714,-0.8017889;Mayenne
GROUPE DE RECHERCHE ARTISTIQUE GUÉRANDAIS;Peinture;;;1 allée Hibiscus;;44350;;GUERANDE;;44069;47.33565;-2.43297;;;02 40 62 14 66;;michel.criaud2@9online.fr;http://michelcriaud.blog4ever.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.33565,-2.43297;Loire-Atlantique
FERME KAIKOUDHOU;"Fruits / légumes;Viande";;;1 La Courbe;;44130;;FAY-DE-BRETAGNE;;44056;47.4271035;-1.7967717;;06 75 24 80 97;;;ferme@kaikoudhou.fr;;;;Facebook||https://www.facebook.com/kaikoudhou/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.4271035,-1.7967717;Loire-Atlantique
FERME DES COLIBRIS;Fruits / légumes;;;1 La Mouraudière;;44320;;SAINT-PERE-EN-RETZ;;44187;47.23167;-2.08487;;06 04 45 14 10;;;eric.souffleux@orange.fr;http://www.lafermedescolibris.net/;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||17:30||19:30||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.23167,-2.08487;Loire-Atlantique
LA FERME FLEURY;Fruits / légumes;;;1 La Terguerie;;44710;;PORT-SAINT-PERE;;44133;47.13213;-1.79158;;;02 40 31 53 12;;sarl.fleury44@yahoo.fr;;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";Bienvenue à la Ferme;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;47.13213,-1.79158;Loire-Atlantique
LE NATURSEL;"Fruits de mer;Poterie;Produits du terroir (boutique)";;;1 Place St-Aubin;;44350;;LA BAULE-ESCOUBLAC;;44055;47.28653;-2.3915;;;02 40 23 99 58;;lenatursel@hotmail.fr;http://www.lenatursel.com;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||10:00||12:30||15:00||18:30||11:00||13:00||14:30||19:00||10:00||12:30||15:00||18:30||10:00||12:30||15:00||18:30||11:00||13:00||14:30||19:00||10:00||12:30||15:00||18:30;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.28653,-2.3915;Loire-Atlantique
MONTGOLFIER;"Art de la table;Céramique, faïence, émail;Décoration d'intérieur";;;1 rue Denis Papin;;49430;;DURTAL;;49127;47.6605548;-0.2481101;;;;;;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;oui;;;non;;oui;01/01/2022||31/12/2022||||||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||||||||;;;;;;;47.6605548,-0.2481101;Maine-et-Loire
LE ROC AU LOUP - VIANDE BOVINE ANGUS;Viande;;;1 Rue du Docteur Jouis;;53240;;ANDOUILLE;;53005;48.17654;-0.78456;;06 26 31 98 77;;;;https://www.lerocauloup.fr/bovins-angus;;;Facebook||https://www.facebook.com/La-Ferme-du-Roc-Bovins-Angus-%C3%A9lev%C3%A9s-en-plein-air-1904431936532409/?ref=page_internal;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;;;;48.17654,-0.78456;Mayenne
LA CHOSE ANTIQUITÉS;;;;1 Rue Saint-Nicolas;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.72861;0.57335;;06 09 25 01 96;;;beyrouth65@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.72861,0.57335;Sarthe
ATELIER DU DÉTOUR;"Art de la table;Céramique, faïence, émail;Poterie;Sculpture";;;1 rue Traversière;;49125;;CHEFFES;;49090;47.6207291;-0.5078101;;;02 41 87 34 90;;atelierdudetour@orange.fr;http://atelierdudetour.blogspot.fr/;;;Facebook||https://www.facebook.com/Atelier-du-D%C3%A9tour-Blandine-Dandrel-1425195324447556/?fref=ts;;Artisanat / Art;;;non;;;;;Français;;;non;oui;;;oui;;non;;oui;;Français;oui;;non;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 41 37 84 90||atelierdudetour@orange.fr;;;oui;;Chèques bancaires et postaux;47.6207291,-0.5078101;Maine-et-Loire
DOMAINE GILBERT;;;;1, rue du Bourg Neuf;;49400;;VARRAINS;;49362;47.22287;-0.0674;;;;;;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.22287,-0.0674;Maine-et-Loire
LES ATELIERS D'HALOA;"Bijou;Textile / Habillement / Chaussure";;;10 rue Henri IV;;53270;;SAINTE-SUZANNE-ET-CHAMMES;;53255;48.0974634;-0.3506178;;07 71 65 37 98;;;ateliershaloabijoux@gmail.com;;;;Facebook||https://fr-fr.facebook.com/Les-ateliers-dHaloa-Bijoux-460938387305838/;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;oui;"03/01/2022||31/12/2022||Ouverture sur rendez-vous le mercredi et jeudi toute la journée;le vendredi matin, samedi matin et dimanche matin sur rendez-vous.||Fermeture hebdomadaire les lundis et mardis||||||||||||||||||||||||||||||||||||||14:30||18:00||||||14:30||18:00||||||14:30||18:00";;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.0974634,-0.3506178;Mayenne
DOMAINE DU CANAL DE MONSIEUR;Vins;;;12, rue du Canal de Monsieur;;49190;;VAL-DU-LAYON;;49292;47.3283616;-0.6687653;;;;;domaine.canal.monsieur@wanadoo.fr;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3283616,-0.6687653;Maine-et-Loire
LE FONDANT BAULOIS;Confiserie / chocolat;;;131 Avenue du Général de Gaulle;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28596;-2.39187;;;02 40 23 16 05;;infos@lefondantbaulois.com;http://www.lefondantbaulois.com;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Ouvert les lundis pendant les vacances d'été||||||||||||10:00||13:00||15:00||19:00||10:00||13:00||15:00||19:00||10:00||13:00||15:00||19:00||10:00||13:00||15:00||19:00||10:00||13:00||15:00||19:00||10:00||13:00||15:00||19:00;;;;;;;47.28596,-2.39187;Loire-Atlantique
DISTILLERIE COQLICORNE;Spiritueux;;;15 rue de la Poste;;72110;;NOGENT-LE-BERNARD;;72220;48.2368;0.48955;;06 73 66 46 17;;;ugo@coqlicornecompany.com;https://distilleriecoqlicorne.com/;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;oui;Français;;;oui;;;;;;;;48.2368,0.48955;Sarthe
LES PORCS DE LA SARTHE (LPS);"Elevage;Rillettes;Salaisons;Viande";;;15 rue Jean Grémillon;;72000;;LE MANS;;72181;48.0137062;0.1637431;;;02 43 28 58 58;;contact@cenomans.fr;https://www.porcsdelasarthe.fr/;https://youtu.be/xJkEmXuNEo8;;"Facebook||https://www.facebook.com/pg/porcfermiercenomans/about/?ref=page_internal;Facebook||https://www.facebook.com/notes/porc-fermier-c%C3%A9nomans/qui-sommes-nous-/1624472077860640;Facebook||https://www.facebook.com/notes/porc-fermier-c%C3%A9nomans/une-v%C3%A9ritable-recette-familiale-de-rillettes-sarthoises/1631914643783050;Twitter||https://twitter.com/porcsdelasarthe;Pinterest||https://fr.pinterest.com/porcsdelasarthe/du-porc-et-des-cochons/;Google+||https://plus.google.com/+PorcsdelasartheFr";;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0137062,0.1637431;Sarthe
ÉPICERIE AU PANIER GOURMAND;Produits du terroir (boutique);;;15bis rue d'Anjou;MONTJEAN-SUR-LOIRE;49570;;MAUGES-SUR-LOIRE;;49244;47.390187;-0.8622386;;06 67 37 71 25;02 44 85 26 81;;aupaniergourmand49570@gmail.com;;;;"Facebook||https://www.facebook.com/aupaniergourmand49570;Instagram||https://www.instagram.com/aupaniergourmand49570/";;Agro-alimentaire;;;non;;;;;"Anglais;Espagnol";;non;;;;;;;;;;;;;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.390187,-0.8622386;Maine-et-Loire
LE FOURNIL DE L'ENTRECHAT;Pain / Pâtisserie;;;16, Chez Métreau;;44140;;MONTBERT;;44102;47.0511035;-1.4860837;;;06 83 07 96 82;;fournildelentrechat@free.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;||||sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.0511035,-1.4860837;Loire-Atlantique
LÉZARTMONIES;"Bijou;Produits du terroir (boutique);Textile / Habillement / Chaussure";;;17 grande rue;;53700;;VILLAINES-LA-JUHEL;;53271;48.34514;-0.275528;;06 10 24 21 17;;;lezartmonies@gmail.com;http://www.lezartmonies.fr/;;;;;Artisanat / Art;;;;;;;;;;;;non;;;;;;;;;;;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.34514,-0.275528;Mayenne
ATELIER FLOCOM;;;;17, rue Jehanne d'Arc;;49730;;MONTSOREAU;;49219;47.21482;0.06468;;;06 64 46 75 89;;flocrea@gmail.com;http://www.flocomdeco.com;;;;;;;;;;;;;"Anglais;Espagnol;Français";;;;;;;;;;;;;;;;;;;;;;;Chèques bancaires et postaux;47.21482,0.06468;Maine-et-Loire
CUIR D'ANGUILLES;Maroquinerie;;;177 Rue de la Basse Meilleraie;Varades;44370;;LOIREAUXENCE;;44213;47.3715311;-1.0246644;;06 61 20 73 90;02 40 96 76 45;;sylviane.perraud@sfr.fr;;;;Facebook||https://www.facebook.com/Cuir-danguille-596795263737800/timeline/;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.3715311,-1.0246644;Loire-Atlantique
AMAPP DE VIVOIN;"Bières;Fromage et produit laitier;Fruits / légumes;Pain / Pâtisserie;Produits cidricoles / Jus de fruit;Viande;Volailles / Oeufs";;;18 rue der Maresché;;72170;;VIVOIN;;72380;48.2324383;0.15604729;;06 95 71 03 10;;;heathermichelchab@wanadoo.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;non;non;non;;;non;non;non;non;non;non;;non;;oui;;Heather CHABRERIE||||heathermichelchab@wanadoo.fr;;;oui;;;48.2324383,0.15604729;Sarthe
GALERIE MARIE-LOUISE;Peinture;;;19 avenue Marie-Louise;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28202;-2.40683;;06 08 52 97 47;02 40 60 81 85;;gaudin@neuf.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||15:30||19:00||||||15:30||19:00||||||15:30||19:00||||;;;;;;;47.28202,-2.40683;Loire-Atlantique
GALERIE D'ART PROMENARTS;;;;19 bis avenue Marie-Louise;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28204;-2.40701;;;09 53 70 47 87;;patrick@promenarts.com;https://www.promenarts.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"01/01/2022||31/12/2022||+ Sur RDV au 09 53 70 47 87||||10:30||13:00||||||10:30||13:00||||||10:30||13:00||||||10:30||13:00||||||10:30||13:00||||||10:30||13:00||||||10:30||13:00||||;01/01/2022||31/12/2022||Sur RDV au 09 53 70 47 87||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||";;;;;;;47.28204,-2.40701;Loire-Atlantique
ATELIER CUIR;Maroquinerie;;;2 Le Bois Vert;Varades;44370;;LOIREAUXENCE;;44213;47.3726589;-1.0531014;;06 73 27 76 13;;;bourrellerie.delaunayjulia@orange.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.3726589,-1.0531014;Loire-Atlantique
LA FERME DU BOIS SUZIN;"Elevage;Viande";;;2 Le Cep;;44170;;LA GRIGONNAIS;;44224;47.5105481;-1.7113045;;06 79 72 20 04;;;;http://www.terroirs44.org/gestionCommerciale.stp?ACTION=RESUME_FOURNISSEUR&CODE_FOURNISSEUR=fermeduboissuzinr;;;Facebook||https://www.facebook.com/Ferme-du-Bois-Suzin-911611975587123/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;oui;;;;oui;;;;;;;;;;;;47.5105481,-1.7113045;Loire-Atlantique
COMPTOIR DES GOURMETS;"Biscuit;Pain / Pâtisserie;Produits du terroir (boutique)";;;2 quai Saint-Jacques;;44420;;LA TURBALLE;;44211;47.34672;-2.51058;;;02 40 62 80 05;;;https://www.comptoirdelamer.fr/magasins/la-turballe/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||Complément horaires sur notre site internet||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.34672,-2.51058;Loire-Atlantique
LES JARDINS DE NICOLAS;Fruits / légumes;;;2 Rue de Verdun;;72240;;NEUVILLALAIS;;72216;48.155658;-0.000483;;06 03 07 94 42;;;lesjardins_denicolas@outlook.fr;;;;Facebook||https://www.facebook.com/lesjardinsdenicolas72/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;oui;||||||||||||||||||||||||||||||||||||||||17:00||19:00||||||||||||||||||||;;||https://www.local.bio/les-jardins-de-nicolas||||||;oui;oui;;;48.155658,-0.000483;Sarthe
TY VINCE;;;;21 rue des Vergers;;44410;;HERBIGNAC;;44072;47.45317;-2.29759;;;06 08 28 92 86;;crepieradomicile44@gmail.com;http://tyvince.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.45317,-2.29759;Loire-Atlantique
AU TOUR DU MORTA;"Bijou;Sculpture;Travail du bois";;;22 rue Samson;;44720;;SAINT-JOACHIM;;44168;47.36753;-2.18194;;06 42 89 69 69;;;jeannoel46@hotmail.fr;;;;;;Artisanat / Art;;;;;;;;;;;;oui;;;;oui;;;non;oui;Français;non;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux;47.36753,-2.18194;Loire-Atlantique
DOMAINE DES HAUTES VIGNES;Vins;;;22, rue de la Chapelle;;49400;;DISTRE;;49123;47.22254;-0.10893;;06 09 64 31 55;02 41 50 21 96;02 41 50 12 83;fourrieralain@wanadoo.fr;http://www.leshautesvignes.fr;;;;;Viticulture;Caves touristiques vignoble de Loire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.22254,-0.10893;Maine-et-Loire
LE FRUITIER;"Fruits / légumes;Produits du terroir (boutique)";;;23 Avenue Edmond Rostand;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28005;-2.36934;;;02 40 60 64 08;;contact@lefruitier.fr;http://www.lefruitier.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||07:00||13:30||15:30||19:00||07:00||13:30||15:30||19:00||07:00||13:30||15:30||19:00||07:00||13:30||15:30||19:00||07:00||13:30||15:30||19:00||07:00||13:30||15:30||19:00||07:00||13:30||||;;;;;;;47.28005,-2.36934;Loire-Atlantique
ROCK HA BILLIG;;;;23 La Martinnière;;44160;;CROSSAC;;44050;47.39391;-2.12365;;06 24 25 76 96;;;rockabilig@free.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.39391,-2.12365;Loire-Atlantique
L'ATELIER DE VALÉRIE;Confiserie / chocolat;;;23 rue du Croisic;;44740;;BATZ-SUR-MER;;44010;47.27924;-2.48279;;;02 40 23 59 83;;latelierdevalerie@live.fr;https://www.atelierdevalerie.fr/latelier/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/10/2021||31/03/2022||||||||||||||09:00||12:30||15:00||18:30||09:00||12:30||15:00||18:30||09:00||12:30||15:00||18:30||09:00||12:30||15:00||18:30||09:00||12:30||15:00||18:30||09:00||12:30||||;;;;;;"Cartes bancaires;Espèces";47.27924,-2.48279;Loire-Atlantique
MAMIE LILISE;"Bières;Epices / Condiment;Fruits / légumes;Pain / Pâtisserie;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Spiritueux";;;25 rue Pasteur;;44740;;BATZ-SUR-MER;;44010;47.27886;-2.47842;;07 68 40 71 66;06 81 42 95 83;;elaura@mamie-lilise.fr;http://www.mamie-lilise.fr;;;;;"Activités de la mer;Artisanat / Art;Viticulture";;;;;;;;;;;;;;;;;;;;;;;;;01/10/2021||31/03/2022||||||||||||||10:00||13:00||15:00||19:00||10:00||13:00||15:00||19:00||10:00||13:00||15:00||19:00||10:00||13:00||15:00||19:00||10:00||13:00||15:00||19:00||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.27886,-2.47842;Loire-Atlantique
FERME DE KERHUÉ - MIEL ET PRODUITS DE LA RUCHE;Confiserie / chocolat;;;250 rue des Sports;;44420;;GUERANDE;;44069;47.39598;-2.45193;;;06 50 91 15 01;;contact@fermedekerhue.fr;http://fermedekerhue.fr/;;;;;Agro-alimentaire;;;oui;;;;;;;;;;;;;;;;;;;;;;01/03/2022||30/12/2022||||||||||||||||||||||||||||||||||||||||||||||10:00||12:30||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.39598,-2.45193;Loire-Atlantique
PRODUCTEUR M. TOUCHET;Viande;;;26 Rue Grande Maison;;49800;;LOIRE-AUTHION;;49307;47.445492;-0.411922;;;02 41 54 94 60;;mftouchet@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.445492,-0.411922;Maine-et-Loire
ESAT BIOCAT - LE MAGASIN;"Fruits / légumes;Produits du terroir (boutique)";;;3 chemin des Haies;;44190;;GETIGNE;;44063;47.0851803;-1.2574089;;;02 28 21 51 16;;panierbiocat@esatco44.fr;https://www.esatbiocat.fr/;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;Partenariat||;oui;||||||||||||||||09:30||16:00||||||09:30||18:00||||||09:30||16:00||||||09:30||18:00||||||09:30||12:30||||||||||||;;;;;;;47.0851803,-1.2574089;Loire-Atlantique
ATELIER ART EN CIEL - MME BOCQUET;Peinture;;;3 chemin du Parc de la Tonnelle;;44350;;GUERANDE;;44069;47.32396;-2.43586;;;06 88 52 65 99;;viviann44@live.fr;http://www.guidarts.com;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32396,-2.43586;Loire-Atlantique
ARTISTE PEINTRE FRANÇOIS VERRIMST;Peinture;;;3 rue de la Psalette;;44350;;GUERANDE;;44069;47.32782;-2.43018;;;06 63 68 30 60;;francois.verrimst@gmail.com;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32782,-2.43018;Loire-Atlantique
DRIVE DES BOIS D'ANJOU - ET SI ON MANGEAIT LOCAL ?;"Biscuit;Brioche et viennoiserie;Confiserie / chocolat;Confiture;Foie gras;Fromage et produit laitier;Fruits / légumes;Huile;Pain / Pâtisserie;Produits du terroir (boutique);Rillettes;Spiritueux;Viande;Volailles / Oeufs";;;3 Rue des Rosiers;Saint-Georges- du-Bois;49250;;LES BOIS D'ANJOU;;49138;47.4974056;-0.2249305;;;;;;https://www.driveboisdanjou.fr/;;;Facebook||https://www.facebook.com/driveboisdanjou/;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;;;;;;;;oui;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Vous passez votre commande jusqu'au lundi soir minuit et la retirez soit le vendredi soir à St Georges du bois (17h-19h) ou le samedi matin à Brion (10h-12h)||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://www.driveboisdanjou.fr/||||||;oui;oui;;Cartes bancaires;47.4974056,-0.2249305;Maine-et-Loire
LA LOCO'MOTIV;"Brioche et viennoiserie;Confiture;Fromage et produit laitier;Fruits / légumes;Pain / Pâtisserie;Produits apicoles;Viande;Volailles / Oeufs";;;3 Rue Laennec;Rozé;44550;;SAINT-MALO-DE-GUERSAC;;44176;47.3594129;-2.186059;;;07 68 87 98 81;;lespotesauroz@gmail.com;;;;Facebook||https://www.facebook.com/Les-potes-au-Roz-La-LocoMotive-1166445600147694/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||16:00||19:00||||||||||||||16:00||20:00||10:00||13:00||||||||||||;;;;;;;47.3594129,-2.186059;Loire-Atlantique
DOMAINE DE LA BOURRELIÈRE;Vins;;;30 La Bourrelière;;49610;MURS-ERIGNE;MURS-ERIGNE;;49223;47.38009;-0.56388;;06 09 31 72 92;02 41 57 76 76;;gaec.jolly@orange.fr;http://www.gaecjollyfreres.com;;;;;Viticulture;"Caves touristiques vignoble de Loire;Vignobles et découvertes";;;;;;;Français;"Anjou Blanc;Anjou Fines Bulles;Anjou Rouge;Cabernet d'Anjou;Coteaux de l'Aubance;Rosé de Loire";;;;;;oui;;;;;;Français;;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||09:30||12:00||14:30||19:00||09:30||12:00||14:30||19:00||09:30||12:00||14:30||19:00||||||||||09:30||12:00||14:30||19:00||09:30||12:00||14:30||19:00||||||||";;;;;;"Cartes bancaires;Espèces";47.38009,-0.56388;Maine-et-Loire
LE SEL DE GUÉRANDE;"Confiserie / chocolat;Produits du terroir (boutique);Sel";;;30, Rue Saint Michel;;44350;;GUERANDE;;44069;47.32726;-2.42788;;;09 81 87 42 89;;;;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32726,-2.42788;Loire-Atlantique
GALERIE D'ART LA PETITE ECOLE;;;;32 Rue de la Madeleine;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.7304;0.57448;;06 47 24 18 89;;;jeanlucjerome@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.7304,0.57448;Sarthe
NATURELLEMENT LIÈGE;;;;32 rue Saint Michel;;44350;;GUERANDE;;44069;47.32717;-2.42776;;;02 40 42 86 04;;contact@naturellementliege.fr;https://naturellement-liege.fr/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.32717,-2.42776;Loire-Atlantique
Ô 4 HEURES;Produits du terroir (boutique);;;32, Rue Saint Michel;;44350;;GUERANDE;;44069;47.32726;-2.42768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32726,-2.42768;Loire-Atlantique
DOMAINE DES RAYNIÈRES;Vins;;;33, rue du Ruau;;49400;;VARRAINS;;49362;47.22344;-0.06715;;06 87 24 39 48;02 41 52 44 87;;contact@domainedesraynieres.com;https://www.domainedesraynieres.com;;;"Facebook||https://www.facebook.com/Domainedesraynieres;Twitter||https://twitter.com/raynieres";;Viticulture;Caves touristiques vignoble de Loire;;oui;;;;;Français;"Saumur Blanc;Saumur Brut;Saumur Champigny;Saumur Rosé;Saumur Rouge";;;;;;oui;;;;oui;;;;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.22344,-0.06715;Maine-et-Loire
